Year,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
Peak_Dur_2,nan,nan,1.0,3.0,nan,24.0,16.0,nan,10.0,2.0,20.0,nan,nan,nan,nan,2.0,2.0,3.0,nan,nan,1.0,8.0,nan,nan,1.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,3.0,4.0,nan,3.0,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,1.0,3.0,nan,8.0,5.0,nan,4.0,2.0,5.0,nan,nan,nan,nan,2.0,1.0,3.0,nan,nan,1.0,4.0,nan,nan,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,3.0,2.0,nan,3.0,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,nan,4760.0,5900.0,8500.0,4250.0,10100.0,11000.0,2710.0,5700.0,4510.0,10500.0,6100.0,3130.0,nan,nan,6860.0,7240.0,4820.0,5680.0,6020.0,6380.0,10500.0,5060.0,2310.0,5600.0,4800.0
SP_Tim,nan,255.0,246.0,239.0,258.0,279.0,248.0,241.0,270.0,239.0,259.0,250.0,238.0,nan,nan,256.0,261.0,250.0,238.0,245.0,253.0,250.0,257.0,225.0,241.0,202.0
SP_Dur,nan,53.0,77.0,66.0,66.0,73.0,87.0,98.0,51.0,43.0,73.0,64.0,123.0,nan,nan,68.0,56.0,64.0,52.0,59.0,72.0,71.0,58.0,66.0,66.0,137.0
SP_ROC,nan,0.11267605633802817,0.07877863200443846,0.05509641873278237,0.08658170914542729,0.08108108108108109,0.09090909090909091,0.08893280632411067,0.09156976744186046,0.08547072939338132,0.08108108108108109,0.08888888888888889,0.10778443113772455,nan,nan,0.09203839638622247,0.08182877900672306,0.10176991150442478,0.09395644727183752,0.12293262293262293,0.11888111888111888,0.06893289103199846,0.07062793427230046,0.0962800875273523,0.0747712203408406,0.05174685481128868
DS_Mag_50,nan,116.0,287.0,nan,71.0,142.0,154.0,96.0,130.0,200.0,210.0,104.0,nan,nan,nan,292.0,96.0,187.5,67.0,202.0,63.0,256.5,160.0,50.0,133.0,132.0
DS_Mag_90,nan,280.0,364.0,nan,508.5000000000004,870.0,284.0,128.0,260.0,355.0,515.0,204.0,nan,nan,nan,570.4000000000003,163.6000000000003,361.20000000000016,192.0,515.0,805.0,1050.0,287.79999999999995,376.20000000000005,224.19999999999993,182.39999999999998
DS_Tim,nan,308.0,323.0,305.0,324.0,352.0,335.0,339.0,321.0,282.0,332.0,314.0,361.0,nan,nan,324.0,317.0,314.0,290.0,304.0,325.0,321.0,315.0,291.0,307.0,339.0
DS_Dur_WS,nan,157.0,162.0,nan,172.0,115.0,115.0,109.0,77.0,171.0,214.0,202.0,nan,nan,nan,162.0,169.0,168.0,210.0,153.0,154.0,206.0,215.0,183.0,165.0,133.0
