Year,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DS_Dur_WS,217.0,262.0,201.0,218.0,157.0,165.0,246.0,281.0,215.0,276.0,178.0,174.0,256.0,231.0,255.0,208.0,246.0,194.0,306.0,218.0,222.0,261.0,171.0,207.0,185.0,241.0,230.0,237.0,213.0,292.0,220.0,170.0,300.0,160.0,320.0,224.0,183.0
DS_No_Flow,92.0,115.0,152.0,58.0,0.0,70.0,126.0,106.0,152.0,176.0,170.0,162.0,214.0,151.0,147.0,128.0,94.0,108.0,83.0,0.0,33.0,75.0,138.0,103.0,115.0,133.0,79.0,0.0,109.0,176.0,93.0,100.0,13.0,101.0,227.0,176.0,164.0
FA_Tim,nan,24.0,64.0,43.0,25.0,nan,nan,62.0,nan,nan,nan,nan,nan,25.0,69.0,71.0,36.0,72.0,nan,56.0,60.0,nan,nan,nan,38.0,nan,25.0,nan,72.0,nan,nan,12.0,nan,nan,nan,nan,nan
FA_Mag,nan,3.2562516468443015,1.201139706447153,10.985237385627334,9.24963013247914,nan,nan,2.848050366974848,nan,nan,nan,nan,nan,2.927760246762559,11.993337673308902,1.6989644975510994,1.0275669153167755,10.867662083721447,nan,2.760583363796976,6.494682375497731,nan,nan,nan,24.93192685900953,nan,1.1623158492017132,nan,5.660486560021506,nan,nan,8.454452383578664,nan,nan,nan,nan,nan
Wet_Tim,94.0,77.0,107.0,73.0,75.0,36.0,26.0,115.0,109.0,68.0,133.0,77.0,143.0,119.0,85.0,106.0,90.0,102.0,43.0,95.0,102.0,98.0,99.0,49.0,58.0,79.0,83.0,74.0,122.0,72.0,127.0,97.0,74.0,154.0,51.0,111.0,55.0
FA_Dur,nan,1.0,7.0,5.0,5.0,nan,nan,5.0,nan,nan,nan,nan,nan,9.0,5.0,8.0,12.0,4.0,nan,5.0,4.0,nan,nan,nan,12.0,nan,1.0,nan,7.0,nan,nan,4.0,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,0.685,1.1400000000000003,0.269,4.23,2.8,2.2,0.53,0.7330000000000002,0.23,0.01,0.27,0.01,0.0,0.0010000000000000054,2.44,0.0,2.6,3.8,0.13,6.3,2.4,0.21600000000000003,0.08,0.371,0.77,0.42,1.439,3.49,0.18,0.07700000000000001,0.128,0.29,1.473,0.12,0.027000000000000003,0.0,0.008000000000000007
Wet_BFL_Mag_50,4.1,5.0,0.75,8.850000000000001,13.0,3.9,1.2,8.0,0.74,0.16,0.705,0.04,0.02,2.2,7.0,0.39,7.5,12.0,8.2,15.0,7.4,5.1,1.1,2.795,1.49,1.78,4.994999999999999,13.4,0.61,2.12,2.755,3.325,3.9349999999999996,2.68,2.3200000000000003,0.07,0.75
Wet_BFL_Dur,88.0,83.0,68.0,112.0,138.0,135.0,155.0,50.0,66.0,44.0,76.0,169.0,37.0,52.0,95.0,38.0,87.0,65.0,78.0,94.0,91.0,65.0,81.0,128.0,160.0,73.0,94.0,127.0,31.0,78.0,30.0,100.0,104.0,45.0,38.0,75.0,79.0
Peak_Dur_2,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007,401.80000000000007
Peak_Dur_5,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993,372.19999999999993
Peak_Dur_10,nan,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0
Peak_Dur_20,nan,nan,nan,5.0,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,1.0,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,3.0,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_20,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8,195.8
Peak_Dur_50,1.0,3.0,nan,6.0,5.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,3.0,1.0,4.0,5.0,2.0,2.0,nan,nan,1.0,1.0,1.0,2.0,nan,nan,nan,nan,2.0,1.0,1.0,nan,nan
Peak_Fre_50,1.0,3.0,nan,3.0,5.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,1.0,3.0,4.0,2.0,1.0,nan,nan,1.0,1.0,1.0,2.0,nan,nan,nan,nan,2.0,1.0,1.0,nan,nan
Peak_50,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
Dur_2,7.0,14.0,nan,19.0,43.0,5.0,1.0,11.0,1.0,nan,nan,nan,1.0,1.0,9.0,nan,11.0,13.0,14.0,29.0,9.0,8.0,1.0,4.0,4.0,5.0,7.0,26.0,1.0,5.0,1.0,4.0,11.0,2.0,5.0,nan,2.0
Fre_2,4.0,6.0,nan,7.0,11.0,2.0,1.0,4.0,1.0,nan,nan,nan,1.0,1.0,6.0,nan,5.0,8.0,6.0,10.0,4.0,7.0,1.0,2.0,3.0,3.0,5.0,8.0,1.0,3.0,1.0,2.0,6.0,2.0,4.0,nan,1.0
High_2,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Dur_5,14.0,31.0,4.0,50.0,76.0,18.0,3.0,24.0,1.0,nan,nan,nan,3.0,4.0,32.0,3.0,32.0,30.0,32.0,53.0,31.0,23.0,2.0,12.0,14.0,10.0,31.0,71.0,3.0,11.0,5.0,10.0,23.0,7.0,9.0,nan,6.0
Fre_5,5.0,4.0,3.0,9.0,8.0,6.0,3.0,4.0,1.0,nan,nan,nan,1.0,3.0,6.0,1.0,5.0,11.0,7.0,10.0,7.0,6.0,2.0,6.0,8.0,4.0,12.0,9.0,1.0,4.0,2.0,6.0,5.0,4.0,4.0,nan,3.0
High_5,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989,12.19499999999989
Dur_10,34.0,52.0,12.0,114.0,103.0,43.0,9.0,46.0,4.0,2.0,4.0,nan,4.0,9.0,68.0,7.0,81.0,67.0,62.0,103.0,66.0,38.0,8.0,29.0,27.0,25.0,63.0,112.0,7.0,18.0,11.0,27.0,55.0,16.0,15.0,3.0,12.0
Fre_10,7.0,4.0,4.0,10.0,10.0,10.0,6.0,5.0,1.0,1.0,2.0,nan,1.0,3.0,9.0,2.0,6.0,9.0,5.0,6.0,10.0,5.0,3.0,10.0,8.0,4.0,8.0,5.0,3.0,3.0,3.0,9.0,8.0,6.0,4.0,3.0,4.0
High_10,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27
Dur_20,83.0,116.0,25.0,155.0,168.0,146.0,39.0,86.0,13.0,3.0,14.0,2.0,13.0,44.0,117.0,22.0,130.0,107.0,92.0,148.0,107.0,75.0,28.0,104.0,79.0,63.0,129.0,161.0,17.0,50.0,34.0,109.0,114.0,45.0,60.0,6.0,22.0
Fre_20,5.0,9.0,4.0,6.0,5.0,4.0,12.0,5.0,7.0,1.0,5.0,1.0,2.0,3.0,3.0,9.0,5.0,4.0,4.0,7.0,2.0,8.0,6.0,7.0,8.0,5.0,6.0,3.0,4.0,5.0,5.0,5.0,7.0,5.0,2.0,4.0,4.0
High_20,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
