Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DS_Dur_WS,199.0,137.0,221.0,166.0,60.0,189.0,235.0,189.0,221.0,129.0,257.0,175.0,261.0,231.0,110.0,157.0,139.0,144.0,63.0,116.0,138.0,439.0,136.0,236.0,245.0,219.0,125.0,236.0,110.0,147.0,180.0,nan,nan,94.0,101.0,202.0,nan,204.0,52.0,268.0,153.0,142.0,172.0,212.0,171.0,112.0,251.0,85.0,107.0,139.0,nan,nan,208.0,175.0,176.0,nan,236.0,135.0,173.0,112.0,227.0,129.0,nan,99.0,141.0,154.0
DS_No_Flow,100.0,0.0,149.0,1.0,60.0,189.0,122.0,0.0,192.0,129.0,193.0,160.0,174.0,146.0,90.0,79.0,0.0,73.0,0.0,13.0,87.0,146.0,69.0,151.0,167.0,67.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,111.0,52.0,203.0,27.0,71.0,0.0,5.0,0.0,76.0,78.0,0.0,105.0,139.0,nan,nan,164.0,116.0,0.0,nan,211.0,122.0,136.0,44.0,0.0,129.0,nan,99.0,120.0,133.0
FA_Tim,nan,nan,45.0,nan,42.0,nan,nan,nan,nan,nan,nan,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.0,nan,64.0,nan,0.0,2.0,nan,19.0,65.0,nan,nan,nan,55.0,42.0,nan,31.0,nan,nan,nan,nan,nan,53.0,nan,nan,nan,68.0,nan,nan,nan,nan,nan,nan,27.0,17.0,nan,61.0,nan,73.0,nan,5.0,nan,nan,nan,nan
FA_Mag,nan,nan,1.9535761850205773,nan,1.5959832599790154,nan,nan,nan,nan,nan,nan,1.3343245825722232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.990293397651914,nan,2.417594000984704,nan,2.3782215635480526,1.285031453341174,nan,27.970384740625576,6.480624427925544,nan,nan,nan,2.2470582873275586,2.173782827788154,nan,2.543317660950634,nan,nan,nan,nan,nan,6.95642215666633,nan,nan,nan,7.450435617213609,nan,nan,nan,nan,nan,nan,2.4558388946180867,9.04737005020442,nan,2.588592472679916,nan,3.689682911485256,nan,2.9512452837104446,nan,nan,nan,nan
Wet_Tim,39.0,180.0,66.0,155.0,86.0,38.0,92.0,162.0,121.0,111.0,46.0,125.0,104.0,166.0,172.0,40.0,54.0,123.0,101.0,11.0,33.0,66.0,184.0,92.0,149.0,165.0,131.0,125.0,163.0,96.0,100.0,115.0,nan,38.0,63.0,50.0,110.0,nan,118.0,24.0,142.0,119.0,84.0,118.0,132.0,115.0,35.0,165.0,26.0,25.0,42.0,nan,123.0,128.0,85.0,143.0,nan,86.0,70.0,105.0,69.0,157.0,40.0,130.0,57.0,73.0
FA_Dur,nan,nan,3.0,nan,15.0,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,21.0,nan,6.0,11.0,nan,5.0,5.0,nan,nan,nan,4.0,6.0,nan,4.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,9.0,3.0,nan,20.0,nan,3.0,nan,3.0,nan,nan,nan,nan
Wet_BFL_Mag_10,0.0,11.600000000000001,1.89,1.76,1.2,0.2,1.2,13.7,0.8500000000000001,0.4,nan,1.3,0.1,0.2,0.7,0.0,0.2,2.4,16.1,2.2,0.543,0.13,5.72,0.5960000000000001,0.383,0.0,0.038000000000000006,11.0,9.0,7.0,0.39,2.6300000000000003,nan,11.0,2.3,2.4,1.7000000000000002,nan,0.42999999999999994,0.06,1.78,1.7400000000000002,22.0,3.4,8.22,2.7200000000000006,0.511,11.0,1.0,0.0,0.12,nan,0.257,0.37,12.88,4.084,nan,1.75,0.94,3.535,8.251999999999999,1.67,0.0,0.0,0.52,0.529
Wet_BFL_Mag_50,0.3,23.0,3.2,11.0,3.2,1.5,2.7,40.5,1.3,0.95,nan,2.25,0.3,3.1,1.6,1.6,0.35,3.8,42.5,3.1,1.1,0.44,13.0,2.0,1.4,0.61,1.6,42.0,27.0,22.0,3.3,18.0,nan,15.0,3.7,4.3,2.8,nan,2.5,0.35,6.7,4.9,47.0,6.9,36.0,5.2,3.3,24.5,1.4,0.35,0.55,nan,2.745,1.7,22.55,7.949999999999999,nan,10.0,2.8,7.7,13.1,3.34,0.18,0.18,0.79,1.505
Wet_BFL_Dur,188.0,57.0,150.0,67.0,143.0,175.0,147.0,78.0,26.0,76.0,nan,82.0,115.0,71.0,45.0,18.0,18.0,91.0,132.0,202.0,84.0,24.0,57.0,98.0,82.0,180.0,199.0,104.0,79.0,51.0,241.0,104.0,nan,55.0,153.0,145.0,104.0,nan,70.0,175.0,99.0,103.0,147.0,102.0,87.0,83.0,142.0,84.0,183.0,180.0,171.0,nan,58.0,54.0,150.0,74.0,nan,107.0,139.0,146.0,139.0,55.0,301.0,179.0,111.0,94.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,nan,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998,862.6799999999998
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,nan,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997,553.5999999999997
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,nan,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001,306.8000000000001
Peak_Dur_20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,3.0,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,12.0,1.0,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,1.0,nan,8.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,1.0,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan,4.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_20,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,nan,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001,97.60000000000001
Peak_Dur_50,nan,52.0,1.0,16.0,nan,1.0,1.0,68.0,2.0,nan,nan,nan,nan,nan,nan,13.0,35.0,nan,134.0,1.0,nan,2.0,22.0,nan,nan,2.0,1.0,121.0,72.0,169.0,1.0,69.0,nan,23.0,nan,7.0,nan,nan,nan,nan,1.0,nan,160.0,2.0,107.0,nan,1.0,77.0,nan,nan,nan,nan,1.0,nan,98.0,1.0,nan,1.0,nan,6.0,32.0,nan,nan,1.0,nan,nan
Peak_Fre_50,nan,2.0,1.0,5.0,nan,1.0,1.0,4.0,1.0,nan,nan,nan,nan,nan,nan,2.0,4.0,nan,4.0,1.0,nan,1.0,1.0,nan,nan,1.0,1.0,3.0,3.0,4.0,1.0,4.0,nan,3.0,nan,1.0,nan,nan,nan,nan,1.0,nan,2.0,1.0,4.0,nan,1.0,4.0,nan,nan,nan,nan,1.0,nan,9.0,1.0,nan,1.0,nan,2.0,3.0,nan,nan,1.0,nan,nan
Peak_50,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,nan,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Dur_2,nan,16.0,nan,nan,nan,nan,nan,23.0,nan,nan,nan,nan,nan,nan,nan,5.0,10.0,nan,79.0,nan,nan,2.0,nan,nan,nan,1.0,nan,57.0,33.0,110.0,1.0,3.0,nan,6.0,nan,2.0,nan,nan,nan,nan,1.0,nan,74.0,nan,24.0,nan,nan,19.0,nan,nan,nan,nan,nan,nan,16.0,1.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan
Fre_2,nan,2.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,2.0,2.0,nan,5.0,nan,nan,1.0,nan,nan,nan,1.0,nan,5.0,5.0,5.0,1.0,2.0,nan,2.0,nan,1.0,nan,nan,nan,nan,1.0,nan,7.0,nan,3.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
High_2,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,nan,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
Dur_5,nan,47.0,nan,8.0,nan,nan,1.0,62.0,2.0,nan,nan,nan,nan,nan,nan,12.0,28.0,nan,126.0,nan,nan,2.0,15.0,nan,nan,2.0,nan,119.0,66.0,167.0,1.0,57.0,nan,20.0,nan,6.0,nan,nan,nan,nan,1.0,nan,154.0,1.0,102.0,nan,1.0,73.0,nan,nan,nan,nan,1.0,nan,89.0,1.0,nan,1.0,nan,nan,24.0,nan,nan,1.0,nan,nan
Fre_5,nan,3.0,nan,3.0,nan,nan,1.0,4.0,1.0,nan,nan,nan,nan,nan,nan,2.0,4.0,nan,4.0,nan,nan,1.0,2.0,nan,nan,1.0,nan,3.0,4.0,4.0,1.0,8.0,nan,3.0,nan,1.0,nan,nan,nan,nan,1.0,nan,2.0,1.0,3.0,nan,1.0,4.0,nan,nan,nan,nan,1.0,nan,6.0,1.0,nan,1.0,nan,nan,4.0,nan,nan,1.0,nan,nan
High_5,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,nan,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706,23.619999999999706
Dur_10,nan,87.0,3.0,55.0,1.0,1.0,1.0,108.0,3.0,nan,1.0,18.0,nan,nan,4.0,78.0,83.0,nan,183.0,2.0,4.0,3.0,50.0,nan,nan,2.0,1.0,151.0,107.0,190.0,1.0,93.0,nan,92.0,3.0,84.0,nan,nan,nan,nan,36.0,28.0,178.0,4.0,130.0,nan,2.0,123.0,nan,nan,nan,nan,5.0,nan,176.0,44.0,nan,60.0,nan,60.0,123.0,nan,1.0,2.0,nan,nan
Fre_10,nan,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,nan,1.0,2.0,nan,nan,1.0,5.0,5.0,nan,1.0,1.0,3.0,1.0,1.0,nan,nan,1.0,1.0,5.0,4.0,4.0,1.0,4.0,nan,4.0,2.0,4.0,nan,nan,nan,nan,2.0,2.0,1.0,2.0,3.0,nan,1.0,6.0,nan,nan,nan,nan,2.0,nan,4.0,3.0,nan,5.0,nan,3.0,6.0,nan,1.0,2.0,nan,nan
High_10,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,nan,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
