Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
DS_Dur_WS,220.0,214.0,182.0,251.0,227.0,212.0,221.0,186.0,203.0,266.0,232.0,216.0,188.0,220.0,176.0,277.0,199.0,213.0,234.0,255.0,229.0,220.0,219.0,217.0,nan,244.0,233.0,209.0,233.0,190.0,230.0,206.0,202.0,183.0,169.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,89.0,207.0,223.0,199.0,232.0,226.0,256.0,190.0,231.0,185.0,171.0,234.0,218.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,nan,nan,58.0,nan,nan,15.0,55.0,41.0,nan,42.0,nan,nan,nan,52.0,nan,nan,nan,44.0,0.0,0.0,nan,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.0,48.0,nan,nan,nan,nan,54.0,38.0,nan,nan,61.0,nan,nan
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.89049216172475,nan,nan,38.97284990041489,nan,nan,49.98544915675767,50.709103728276474,38.87815144937126,nan,108.98197938443269,nan,nan,nan,30.99098785739249,nan,nan,nan,67.99446643876485,55.961996119323025,58.00044198216844,nan,42.9835019897921,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.95933000762477,47.99835542618157,nan,nan,nan,nan,36.856536458701754,62.769393579269675,nan,nan,40.9871105300238,nan,nan
Wet_Tim,20.0,173.0,190.0,176.0,205.0,183.0,200.0,179.0,174.0,149.0,196.0,168.0,199.0,154.0,185.0,147.0,204.0,170.0,168.0,205.0,205.0,198.0,175.0,184.0,192.0,nan,166.0,187.0,176.0,177.0,162.0,174.0,188.0,188.0,164.0,122.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,158.0,71.0,191.0,185.0,160.0,192.0,167.0,210.0,145.0,180.0,172.0,147.0,188.0
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,3.0,nan,nan,2.0,5.0,5.0,nan,4.0,nan,nan,nan,4.0,nan,nan,nan,5.0,9.0,7.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,2.0,nan,nan,nan,nan,4.0,2.0,nan,nan,5.0,nan,nan
Wet_BFL_Mag_10,21.60000000000001,24.1,36.00000000000001,23.0,24.200000000000003,65.0,33.0,21.0,28.200000000000003,17.200000000000003,23.0,17.8,27.6,16.0,29.0,17.4,26.0,28.0,23.0,36.7,47.5,27.7,17.0,42.2,22.8,nan,11.0,45.0,32.6,28.0,23.9,30.0,47.0,52.7,24.9,37.90000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.1,37.400000000000006,54.400000000000006,27.8,26.0,26.2,19.0,30.0,16.0,37.2,44.2,23.0,28.4
Wet_BFL_Mag_50,41.0,161.0,70.0,68.0,58.5,194.0,82.0,178.0,45.5,28.0,31.5,85.0,150.0,31.5,132.0,56.0,204.0,51.0,165.0,129.0,105.5,65.0,104.0,110.0,143.0,nan,18.0,154.0,68.0,133.0,53.0,167.0,110.0,147.0,72.5,97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,130.0,64.0,121.0,121.0,72.0,90.0,50.0,89.0,59.0,267.0,242.0,33.0,74.0
Wet_BFL_Dur,243.0,82.0,93.0,59.0,52.0,114.0,71.0,104.0,84.0,103.0,58.0,100.0,67.0,118.0,110.0,95.0,75.0,95.0,83.0,68.0,68.0,58.0,80.0,77.0,69.0,nan,89.0,99.0,83.0,101.0,90.0,115.0,69.0,88.0,90.0,138.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,102.0,175.0,95.0,79.0,105.0,47.0,82.0,41.0,119.0,97.0,99.0,96.0,75.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998,605.1999999999998
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0
Peak_Dur_20,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,8.0,nan,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,9.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_20,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,nan,nan,nan,nan,nan,nan,nan,nan,nan,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007,441.80000000000007
Peak_Dur_50,5.0,23.0,nan,nan,1.0,30.0,nan,8.0,nan,nan,nan,nan,8.0,nan,nan,nan,32.0,nan,52.0,nan,nan,nan,5.0,5.0,16.0,nan,nan,1.0,5.0,14.0,nan,13.0,51.0,2.0,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,22.0,6.0,1.0,nan,nan,nan,3.0,nan,38.0,47.0,nan,nan
Peak_Fre_50,4.0,2.0,nan,nan,1.0,6.0,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,2.0,nan,nan,nan,2.0,2.0,2.0,nan,nan,1.0,3.0,3.0,nan,4.0,2.0,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,3.0,2.0,1.0,nan,nan,nan,1.0,nan,6.0,4.0,nan,nan
Peak_50,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0
Dur_2,2.0,17.0,nan,nan,nan,21.0,nan,7.0,nan,nan,nan,nan,8.0,nan,nan,nan,30.0,nan,48.0,nan,nan,nan,4.0,1.0,15.0,nan,nan,nan,4.0,10.0,nan,8.0,49.0,2.0,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,19.0,2.0,nan,nan,nan,nan,2.0,nan,31.0,41.0,nan,nan
Fre_2,2.0,2.0,nan,nan,nan,7.0,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,3.0,nan,nan,nan,2.0,1.0,2.0,nan,nan,nan,3.0,2.0,nan,5.0,1.0,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,3.0,1.0,nan,nan,nan,nan,1.0,nan,6.0,4.0,nan,nan
High_2,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,nan,nan,nan,nan,nan,nan,nan,nan,nan,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015,295.34000000000015
Dur_5,13.0,56.0,4.0,nan,4.0,57.0,7.0,30.0,nan,nan,nan,6.0,13.0,nan,5.0,nan,48.0,nan,78.0,5.0,15.0,nan,27.0,20.0,20.0,nan,nan,12.0,18.0,36.0,nan,32.0,60.0,12.0,nan,43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,47.0,38.0,21.0,nan,nan,nan,17.0,nan,62.0,63.0,nan,nan
Fre_5,5.0,5.0,2.0,nan,1.0,3.0,1.0,3.0,nan,nan,nan,1.0,4.0,nan,2.0,nan,3.0,nan,1.0,1.0,1.0,nan,3.0,2.0,1.0,nan,nan,2.0,4.0,3.0,nan,4.0,1.0,2.0,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,3.0,1.0,2.0,nan,nan,nan,1.0,nan,1.0,3.0,nan,nan
High_5,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
Dur_10,40.0,98.0,32.0,4.0,10.0,74.0,29.0,77.0,nan,nan,nan,22.0,60.0,nan,51.0,nan,79.0,1.0,96.0,30.0,32.0,12.0,40.0,50.0,60.0,nan,nan,58.0,35.0,72.0,1.0,85.0,92.0,49.0,nan,59.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.0,59.0,54.0,44.0,14.0,16.0,9.0,31.0,nan,73.0,90.0,nan,6.0
Fre_10,6.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,nan,nan,nan,1.0,2.0,nan,6.0,nan,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,nan,nan,4.0,3.0,4.0,1.0,5.0,3.0,3.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,nan,2.0,2.0,nan,1.0
High_10,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0
Dur_20,82.0,119.0,54.0,49.0,44.0,126.0,50.0,122.0,21.0,16.0,25.0,86.0,84.0,33.0,115.0,44.0,106.0,35.0,123.0,66.0,75.0,42.0,85.0,94.0,84.0,4.0,1.0,102.0,61.0,124.0,33.0,144.0,127.0,82.0,55.0,136.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,110.0,129.0,116.0,74.0,68.0,41.0,42.0,47.0,57.0,104.0,115.0,21.0,46.0
Fre_20,5.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,6.0,5.0,5.0,4.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0
High_20,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
